[2024-09-10 14:36:56,715][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-10 14:36:56,735][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-10 14:36:57,288][hydra.utils][INFO] - Starting training!
[2024-09-10 16:50:16,982][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-10 16:50:29,236][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-10 16:50:29,313][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmppsc4c5ra
[2024-09-10 16:50:29,313][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmppsc4c5ra/_remote_module_non_scriptable.py
[2024-09-10 16:50:34,872][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-10 16:50:34,996][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-10 16:50:34,997][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-10 16:50:35,000][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-09-10 16:50:35,005][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-10 16:50:35,136][hydra.utils][INFO] - found checkpoint: /opt/wty/hof_synthesis/HOF/MOFDiff/mofdiff/data/mof_models/bb/bwdb_bb/last.ckpt
[2024-09-10 16:50:35,136][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-10 16:50:37,239][hydra.utils][INFO] - Starting training!
[2024-09-10 16:52:02,290][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-10 16:53:51,807][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-10 16:54:04,202][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-10 16:54:04,264][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmptyanud3z
[2024-09-10 16:54:04,264][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmptyanud3z/_remote_module_non_scriptable.py
[2024-09-10 16:54:09,217][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-10 16:54:09,220][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-10 16:54:09,221][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-10 16:54:09,223][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-09-10 16:54:09,229][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-10 16:54:09,246][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-10 16:54:09,488][hydra.utils][INFO] - Starting training!
[2024-09-11 00:40:32,228][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-11 00:40:41,847][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-11 00:40:42,183][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpyb9p5ie2
[2024-09-11 00:40:42,183][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpyb9p5ie2/_remote_module_non_scriptable.py
[2024-09-11 00:40:51,079][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-11 00:40:51,081][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-11 00:40:51,082][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-11 00:40:51,084][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-09-11 00:40:51,089][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-11 00:40:51,105][hydra.utils][INFO] - found checkpoint: /opt/wty/hof_synthesis/HOF/MOFDiff/mofdiff/data/mof_models/bb/bwdb_bb/last.ckpt
[2024-09-11 00:40:51,105][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-11 00:40:51,837][hydra.utils][INFO] - Starting training!
[2024-09-11 01:29:35,956][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-11 01:29:46,813][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-11 01:29:46,872][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmpxe3udtea
[2024-09-11 01:29:46,873][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmpxe3udtea/_remote_module_non_scriptable.py
[2024-09-11 01:29:52,885][hydra.utils][INFO] - Passing scaler from datamodule to model <None>
[2024-09-11 01:29:52,888][hydra.utils][INFO] - Adding callback <LearningRateMonitor>
[2024-09-11 01:29:52,888][hydra.utils][INFO] - Adding callback <EarlyStopping>
[2024-09-11 01:29:52,890][hydra.utils][INFO] - Adding callback <ModelCheckpoint>
[2024-09-11 01:29:52,896][hydra.utils][INFO] - TensorBoard Logger logs into <{cfg.logging.tensorboard.save_dir}>!
[2024-09-11 01:29:52,914][hydra.utils][INFO] - Instantiating the Trainer
[2024-09-11 01:29:53,441][hydra.utils][INFO] - Starting training!
[2024-09-18 23:50:49,821][hydra.utils][INFO] - Instantiating <mofdiff.data.datamodule.DataModule>
[2024-09-18 23:50:53,694][hydra.utils][INFO] - Instantiating <mofdiff.model.bb_encoder.BBEncoder>
[2024-09-18 23:50:53,738][torch.distributed.nn.jit.instantiator][INFO] - Created a temporary directory at /tmp/tmp10tq3hpa
[2024-09-18 23:50:53,738][torch.distributed.nn.jit.instantiator][INFO] - Writing /tmp/tmp10tq3hpa/_remote_module_non_scriptable.py
